"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","NComunidad","NivEcono","Reuniones","AsisEvento","Mercadillos","FrecuReu","AsisIntroverEvento","Regulaccion","EspacioEvento[SQ001]","EspacioEvento[SQ002]","EspacioEvento[SQ003]","EspacioEvento[SQ004]","EspacioEvento[SQ005]","EspacioEvento[SQ006]","ReuActividades[SQ001]","ReuActividades[SQ002]","ReuActividades[SQ003]","ReuActividades[SQ004]","ReuActividades[SQ005]","ReuActividades[SQ006]","ReuActividades[SQ007]","ReuActividades[SQ008]","ReuActividades[SQ009]","ReuActividades[SQ010]","PropiaMoneda","EsCripto","Intercambio[SQ001]","Intercambio[SQ002]","Intercambio[SQ003]","Intercambio[SQ004]","Intercambio[SQ005]","Goods[0]","Goods[0comment]","Goods[2]","Goods[2comment]","Goods[3]","Goods[3comment]","Goods[4]","Goods[4comment]","Goods[5]","Goods[5comment]","Goods[6]","Goods[6comment]","Goods[7]","Goods[7comment]","Goods[8]","Goods[8comment]","Goods[9]","Goods[9comment]","MonedaIntercambiable","MonedaIntercambiable[comment]","EjeSocial","EjeEcono","EjePolitico","interviewtime","groupTime1","NComunidadTime","NivEconoTime","ReunionesTime","AsisEventoTime","MercadillosTime","FrecuReuTime","AsisIntroverEventoTime","RegulaccionTime","EspacioEventoTime","ReuActividadesTime","groupTime3","PropiaMonedaTime","EsCriptoTime","IntercambioTime","GoodsTime","MonedaIntercambiableTime","groupTime4","EjeSocialTime","EjeEconoTime","EjePoliticoTime"
"39","","0","es-CO","88558836","2022-10-17 18:57:23","2022-10-17 18:57:43","89.130.178.235","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","20.65","20.65","","","","","","","","","","","","","","","","","","","",""
"40","","0","es-CO","2066541105","2022-10-17 20:39:37","2022-10-17 20:39:37","85.251.14.228","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"41","","0","es-CO","1817608146","2022-10-17 20:45:30","2022-10-17 20:45:30","93.176.128.160","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"42","2022-10-17 22:06:00","3","es-CO","","2022-10-17 22:00:00","2022-10-17 22:06:00","37.29.168.161","Moneda libre G1","6","Sí","Entre 10 - 20","Sí","9","6","3","Algunas veces","Nunca","Generalmente","Pocas veces","Algunas veces","Algunas veces","Generalmente","Generalmente","Generalmente","Pocas veces","Pocas veces","Algunas veces","Algunas veces","Generalmente","Algunas veces","Pocas veces","Sí","Sí","N/A","N/A","N/A","Sí","N/A","Sí","","Sí","","Sí","","N/A","","N/A","","N/A","","N/A","","Sí","","N/A","","No","Es un tema de constante debate aunque el valor es totalmente libre","Algo Progresista","Libre mercado total","Acracia ligera","351.2","190.58","","","","","","","","","","","91.67","","","","","","68.95","","",""
"43","","1","es-CO","","2022-10-17 22:24:00","2022-10-17 22:26:00","139.47.18.152","G1","5","Sí","Entre 20 - 50","Sí","7","4","7","Generalmente","Pocas veces","Algunas veces","Algunas veces","Algunas veces","Algunas veces","Algunas veces","Generalmente","Siempre","Generalmente","Algunas veces","Algunas veces","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","123.43","123.43","","","","","","","","","","","","","","","","","","","",""
"44","2022-10-17 22:56:00","3","es-CO","","2022-10-17 22:51:00","2022-10-17 22:56:00","190.95.92.31","g1","1","Sí","Entre 10 - 20","Sí","8","4","10","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Siempre","Siempre","Siempre","Generalmente","Algunas veces","Pocas veces","Siempre","Siempre","Siempre","Siempre","Sí","Sí","N/A","N/A","N/A","Sí","N/A","Sí","pastelería, vegetales","Sí","usada/reviclada","Sí","terapias","N/A","","N/A","","N/A","","N/A","","Sí","terspias","N/A","","No","","En medio","Libre mercado total","En medio","290.13","138.53","","","","","","","","","","","103.92","","","","","","47.68","","",""
"45","","2","es-CO","1971746359","2022-10-18 03:28:12","2022-10-18 03:29:51","181.26.98.182","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","No","","No","","No","","No","","No","","No","","No","","No","","No","","","","","","","100.24","70.3","","","","","","","","","","","29.94","","","","","","","","",""
"46","","0","es-CO","1632749593","2022-10-18 14:39:28","2022-10-18 14:39:28","90.171.48.71","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"47","2022-10-18 15:55:00","3","es-CO","","2022-10-18 15:47:00","2022-10-18 15:55:00","66.81.189.236","Moneda libre G1 (juna)","2","Sí","Entre 20 - 50","Sí","10","3","10","Generalmente","","Pocas veces","","","","Algunas veces","","Algunas veces","","","","Siempre","Generalmente","Generalmente","Generalmente","Sí","No","N/A","N/A","Sí","N/A","N/A","Sí","","Sí","","Sí","muy variados","N/A","","N/A","","N/A","","N/A","","Sí","medicina china, arzillas, CDS, agua de mar, plata coloidal, etc.","Sí","energia alternativa, y otras","No","se crea de forma descentralizada, es decir, cada miembro crea una porción diaria.","Progresista","Libre mercado total","Acracia total","454.29","167.57","","","","","","","","","","","212.72","","","","","","74","","",""
"48","","0","es-CO","2067552822","2022-10-18 18:36:13","2022-10-18 18:36:13","72.11.186.137","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
